nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000581	Joseph L. Mankiewicz	1909	1993	writer,producer,director	tt0042192,tt0056937,tt0041587,tt0069281
nm0000582	Joe Pesci	1943	\N	actor,soundtrack,archive_footage	tt0099685,tt0081398,tt1302006,tt0104952
nm0000583	Wolfgang Petersen	1941	2022	director,writer,producer	tt0082096,tt0089092,tt0088323,tt0114069
nm0000584	Amanda Peterson	1971	2015	actress,archive_footage	tt0092718,tt0089114,tt0083564,tt0092488
nm0000585	Robert Picardo	1953	\N	actor,writer,director	tt0112178,tt0094433,tt0117731,tt0093260
nm0000586	Jada Pinkett Smith	1971	\N	producer,actress,writer	tt0242653,tt0114608,tt0120082,tt0369339
nm0000587	Donald Pleasence	1919	1995	actor,writer,director	tt0082495,tt0077651,tt0062512,tt0057115
nm0000588	Martha Plimpton	1970	\N	actress,writer,producer	tt0089218,tt0091557,tt0115639,tt0096018
nm0000589	Eve Plumb	1958	\N	actress,producer,soundtrack	tt9278110,tt1595859,tt5037914,tt2359024
nm0000590	Edgar Allan Poe	1809	1849	writer,miscellaneous,soundtrack	tt1772264,tt21321726,tt8381734,tt0024894
nm0000591	Roman Polanski	1933	\N	director,actor,writer	tt0071315,tt0074811,tt1139328,tt1692486
nm0000592	Pete Postlethwaite	1946	2011	actor,producer,archive_footage	tt0114814,tt0840361,tt1375666,tt0119567
nm0000593	Kelly Preston	1962	2020	actress,soundtrack,archive_footage	tt0185183,tt0405325,tt0116695,tt0312528
nm0000594	Jason Priestley	1969	\N	actor,producer,director	tt0098749,tt1558182,tt2334593,tt5722298
nm0000595	Victoria Principal	1950	\N	actress,producer,executive	tt0075393,tt0077000,tt0068853,tt0071455
nm0000596	Jonathan Pryce	1947	\N	actor,producer,soundtrack	tt8404614,tt3750872,tt0120347,tt0104348
nm0000597	Bill Pullman	1953	\N	actor,director,producer	tt0116629,tt1628841,tt0094012,tt0116922
nm0000598	Dennis Quaid	1954	\N	actor,producer,music_department	tt0297884,tt0319262,tt0186151,tt0093260
nm0000599	Kathleen Quinlan	1954	\N	actress,producer,director	tt0112384,tt0118771,tt0101761,tt0069704
nm0000600	Sam Raimi	1959	\N	producer,writer,actor	tt0145487,tt0083907,tt0106308,tt0099365
nm0000601	Harold Ramis	1944	2014	writer,actor,producer	tt0087332,tt0107048,tt0083131,tt0478311
nm0000602	Robert Redford	1936	\N	producer,actor,director	tt0087781,tt0081283,tt0064115,tt0074119
nm0000603	Vanessa Redgrave	1937	\N	actress,producer,director	tt0783233,tt1372686,tt0104454,tt0892318
nm0000604	John C. Reilly	1965	\N	actor,writer,producer	tt0299658,tt0841046,tt2015381,tt0118749
nm0000605	Brad Renfro	1982	2008	actor,writer,producer	tt0109446,tt0112757,tt0118636,tt0117665
nm0000606	Jean Reno	1948	\N	actor,archive_footage,archive_sound	tt0110413,tt0095250,tt0122690,tt0383216
nm0000607	Paul Reubens	1952	2023	actor,writer,director	tt0090500,tt0089791,tt0094744,tt0251640
nm0000608	Burt Reynolds	1936	2018	actor,director,producer	tt0118749,tt0076729,tt0082136,tt0117765
nm0000609	Ving Rhames	1959	\N	actor,producer,writer	tt0110912,tt0120755,tt0163988,tt2381249
nm0000610	Giovanni Ribisi	1974	\N	actor,producer,cinematographer	tt0181984,tt0346156,tt0499549,tt0219699
nm0000611	Ariana Richards	1979	\N	actress,archive_footage	tt0107290,tt0100814,tt0119567,tt0259685
nm0000612	Denise Richards	1971	\N	actress,producer,executive	tt0143145,tt0120201,tt0120890,tt0314331
nm0000613	Joely Richardson	1965	\N	actress,producer,soundtrack	tt0361217,tt0187393,tt0115433,tt1932718
nm0000614	Alan Rickman	1946	2016	actor,writer,director	tt0095016,tt0102798,tt0408236,tt0177789
nm0000615	John Ritter	1948	2003	actor,producer,writer	tt0117666,tt0075596,tt0100419,tt0307987
nm0000616	Eric Roberts	1956	\N	actor,producer,soundtrack	tt0089941,tt1791528,tt0468569,tt1320253
nm0000617	Tanya Roberts	1949	2021	actress,producer,archive_footage	tt0090264,tt0088103,tt0165598,tt0083630
nm0000618	Isabella Rossellini	1952	\N	actress,director,writer	tt0090756,tt0104070,tt0106881,tt2316411
nm0000619	Tim Roth	1961	\N	actor,producer,director	tt0114287,tt3460252,tt0110912,tt0133152
nm0000620	Mickey Rourke	1952	\N	actor,writer,producer	tt0401792,tt1125849,tt0092563,tt1228705
nm0000621	Kurt Russell	1951	\N	actor,producer,writer	tt0082340,tt3460252,tt0084787,tt0116225
nm0000622	Theresa Russell	1957	\N	actress,miscellaneous,soundtrack	tt0413300,tt0120890,tt0080408,tt0098093
nm0000623	Rene Russo	1954	\N	actress,producer,archive_footage	tt2872718,tt0155267,tt0117438,tt0122151
nm0000624	Laura San Giacomo	1961	\N	actress,soundtrack,archive_footage	tt0098724,tt0100405,tt0102744,tt0118364
nm0000625	Fred Savage	1976	\N	actor,director,producer	tt0094582,tt0093779,tt0090768,tt0295178
nm0000626	John Sayles	1950	\N	writer,actor,director	tt0116905,tt0095082,tt0087004,tt0119657
nm0000627	Greta Scacchi	1960	\N	actress,archive_footage	tt0105151,tt0116191,tt0102900,tt0217629
nm0000628	Johnathon Schaech	1969	\N	actor,producer,writer	tt11695190,tt0926129,tt0159276,tt0117887
nm0000629	Claudia Schiffer	1970	\N	actress,producer,archive_footage	tt0314331,tt2802144,tt0196229,tt0110989
nm0000630	Liev Schreiber	1967	\N	actor,producer,miscellaneous	tt1895587,tt0458525,tt0368008,tt0404030
nm0000631	Ridley Scott	1937	\N	producer,director,production_designer	tt3659388,tt0083658,tt0103074,tt2193215
nm0000632	Jerry Seinfeld	1954	\N	producer,writer,actor	tt0098904,tt0389790,tt2314952,tt14914430
nm0000633	Tom Selleck	1945	\N	actor,producer,writer	tt1595859,tt0080240,tt0119360,tt0098966
nm0000634	Peter Sellers	1925	1980	actor,writer,director	tt0078841,tt0057012,tt0057413,tt0072081
nm0000635	Yahoo Serious	1953	\N	director,actor,writer	tt0096486,tt0107930,tt0156807,tt6893696
nm0000636	William Shakespeare	1564	1616	writer,miscellaneous,actor	tt10095582,tt20711868,tt8632012,tt14297038
nm0000637	Tupac Shakur	1971	1996	music_artist,composer,music_department	tt0104573,tt0107840,tt0109035,tt0118900
nm0000638	William Shatner	1931	\N	actor,producer,writer	tt0098382,tt0084726,tt0092007,tt0088170
nm0000639	Ally Sheedy	1962	\N	actress,producer,soundtrack	tt0086567,tt0088847,tt0091949,tt0139362
nm0000640	Martin Sheen	1940	\N	actor,producer,director	tt0407887,tt0069762,tt0078788,tt1441912
nm0000641	Gary Sinise	1955	\N	actor,producer,director	tt0109830,tt0105046,tt0112384,tt0117438
nm0000642	Marina Sirtis	1955	\N	actress,producer,soundtrack	tt0092455,tt0111280,tt0117731,tt0375679
nm0000643	Tom Skerritt	1933	\N	actor,director,producer	tt0078748,tt0118884,tt0092099,tt0066026
nm0000644	Helen Slater	1963	\N	actress,writer,producer	tt0088206,tt0089470,tt0093936,tt0091877
nm0000645	Anna Nicole Smith	1967	2007	actress,miscellaneous,producer	tt0110622,tt0377471,tt0758754,tt0110074
nm0000646	Jaclyn Smith	1945	\N	actress,producer,soundtrack	tt0065374,tt0073972,tt5033998,tt0094791
nm0000647	Alan Smithee	\N	\N	director,actor,producer	tt27881541,tt0118577,tt2076794,tt4591238
nm0000648	Wesley Snipes	1962	\N	actor,producer,stunts	tt0120611,tt0102526,tt0106697,tt0105812
nm0000649	Paul Sorvino	1939	2022	actor,director,producer	tt0963194,tt0099685,tt0102803,tt0113987
nm0000650	Talisa Soto	1967	\N	actress,archive_footage	tt0113855,tt0119707,tt0097742,tt0117723
nm0000651	Sissy Spacek	1949	\N	actress,art_department,director	tt0074285,tt0247425,tt0080549,tt1454029
nm0000652	James Spader	1960	\N	actor,producer,soundtrack	tt2741602,tt0402711,tt0098724,tt2395427
nm0000653	Brent Spiner	1949	\N	actor,director,writer	tt0117731,tt1628841,tt0111280,tt0253754
nm0000654	Terence Stamp	1938	\N	actor,director,writer	tt0165854,tt0109045,tt1385826,tt1047011
nm0000655	Eric Stoltz	\N	\N	actor,producer,director	tt0110912,tt0089560,tt0289879,tt0094006
nm0000656	Madeleine Stowe	1958	\N	actress,director,writer	tt0114746,tt0144214,tt0108122,tt0104691
nm0000657	David Strathairn	1949	\N	actor,producer,miscellaneous	tt0433383,tt0443272,tt0831387,tt0119488
nm0000658	Meryl Streep	1949	\N	actress,writer,producer	tt0089755,tt1322269,tt0084707,tt0458352
nm0000659	Barbra Streisand	1942	\N	music_artist,actress,producer	tt0086619,tt0062994,tt0117057,tt0070903
nm0000660	Tami Stronach	1972	\N	actress,producer,archive_footage	tt0088323,tt12623434,tt3222644,tt6557704
nm0000661	Donald Sutherland	1935	2024	actor,producer,writer	tt1951264,tt0414387,tt0067309,tt0066026
nm0000662	Kiefer Sutherland	1966	\N	actor,producer,miscellaneous	tt0285331,tt0183649,tt0790686,tt1527186
nm0000663	Dominique Swain	1980	\N	actress,producer,assistant_director	tt0119558,tt0119094,tt0426883,tt0203975
nm0000664	Patrick Swayze	1952	2009	actor,producer,miscellaneous	tt0092890,tt0099653,tt0102685,tt0098206
nm0000665	D.B. Sweeney	\N	\N	actor,writer,director	tt0104040,tt0106912,tt0463963,tt10128846
nm0000666	Lili Taylor	1967	\N	actress,writer,producer	tt3488298,tt1457767,tt0116594
nm0000667	David Thewlis	1963	\N	actor,writer,director	tt0107653,tt1201607,tt2980516,tt0451279
nm0000668	Emma Thompson	1959	\N	actress,writer,producer	tt0114388,tt2140373,tt0107943,tt0314331
nm0000669	Fred Thompson	1942	2015	actor,archive_footage	tt0099810,tt0093640,tt0109190,tt1922777
nm0000670	Lea Thompson	1961	\N	actress,director,producer	tt0088763,tt5039578,tt1727381,tt1758772
nm0000671	Billy Bob Thornton	1955	\N	actor,writer,director	tt0117666,tt0120324,tt0243133,tt0285742
nm0000672	Meg Tilly	1960	\N	actress,writer,archive_footage	tt0085244,tt0088683,tt0086154,tt0106452
nm0000673	Marisa Tomei	1964	\N	actress,producer,soundtrack	tt0104952,tt1125849,tt0247425,tt1596363
nm0000674	Tamlyn Tomita	1966	\N	actress,writer,producer	tt0319262,tt0091326,tt0406759,tt0411951
nm0000675	Jeanne Tripplehorn	1963	\N	actress,soundtrack,archive_footage	tt0103772,tt0114898,tt0106918,tt0120148
nm0000676	Chris Tucker	1971	\N	actor,writer,producer	tt0120812,tt0266915,tt1045658,tt0293564
nm0000677	Robin Tunney	1972	\N	actress,soundtrack,archive_footage	tt0115963,tt0190865,tt0112950,tt0146675
nm0000678	Kathleen Turner	1954	\N	actress,producer,director	tt0088011,tt0091738,tt0082089,tt0111127
nm0000679	Deborah Kara Unger	1966	\N	actress,producer,miscellaneous	tt0119174,tt1441912,tt0384537,tt0328538
nm0000680	Casper Van Dien	1968	\N	actor,producer,director	tt0120201,tt0437086,tt0162661,tt0120856
nm0000681	Vince Vaughn	1970	\N	producer,actor,writer	tt0452594,tt0396269,tt1078940,tt5657856
nm0000682	Paul Verhoeven	1938	\N	director,producer,writer	tt0093870,tt0389557,tt3716530,tt0164052
nm0000683	Gore Vidal	1925	2012	writer,actor,archive_footage	tt0119177,tt0111732,tt0080491,tt0041061
nm0000684	Nana Visitor	1957	\N	actress,soundtrack,archive_footage	tt0106145,tt0758746,tt2637276,tt1334102
nm0000685	Jon Voight	1938	\N	actor,producer,writer	tt0064665,tt0118615,tt0068473,tt0089941
nm0000686	Christopher Walken	1943	\N	actor,producer,miscellaneous	tt0077416,tt0264464,tt0427327,tt0114194
nm0000687	J.T. Walsh	1943	1998	actor,archive_footage,archive_sound	tt0118771,tt0117666,tt0107665,tt0104257
nm0000688	Sela Ward	1956	\N	actress,producer,archive_footage	tt1628841,tt2267998,tt0106977,tt0338096
nm0000689	Julie Warner	1965	\N	actress,director,producer	tt0114694,tt0101745,tt0430634,tt0200337
nm0000690	Lesley Ann Warren	1946	\N	actress,producer,soundtrack	tt0084865,tt0410975,tt0088930,tt0057950
nm0000691	John Waters	1946	\N	actor,writer,director	tt0126604,tt0069089,tt0095270,tt0387575
nm0000692	Teri Weigel	1962	\N	actress,archive_footage	tt0100403,tt0098257,tt0096889,tt0100114
nm0000693	Peter Weller	1947	\N	actor,director,writer	tt0093870,tt0102511,tt0100502,tt0086856
nm0000694	Wim Wenders	1945	\N	director,producer,writer	tt0093191,tt27503384,tt0087884,tt0101458
nm0000695	Joanne Whalley	1961	\N	actress,archive_footage	tt0096446,tt0120483,tt0090521,tt0090424
nm0000696	Wil Wheaton	1972	\N	actor,writer,producer	tt0092005,tt0084649,tt0103112,tt0092455
nm0000697	Billy Wilder	1906	2002	writer,director,producer	tt0053604,tt0053291,tt0047437,tt0043014
nm0000698	Gene Wilder	1933	2016	actor,writer,director	tt0067992,tt0072431,tt0063462,tt0098282
nm0000699	Michael Wincott	1958	\N	actor,archive_footage	tt0102798,tt0109506,tt0114558,tt0108333
nm0000700	Debra Winger	1955	\N	actress,producer,miscellaneous	tt0086425,tt0084434,tt1084950,tt0108101
nm0000701	Kate Winslet	1975	\N	actress,producer,writer	tt0120338,tt0338013,tt0959337,tt0976051
nm0000702	Reese Witherspoon	1976	\N	producer,actress,executive	tt2305051,tt0250494,tt0358273,tt0126886
nm0000703	BD Wong	1960	\N	actor,director,soundtrack	tt0107290,tt4158110,tt0369610,tt0120762
nm0000704	Elijah Wood	1981	\N	actor,producer,director	tt0120737,tt0167261,tt0167260,tt0338013
nm0000705	Robin Wright	1966	\N	actress,producer,director	tt0109830,tt0442933,tt0217869,tt0093779
nm0000706	Michelle Yeoh	1962	\N	actress,producer,writer	tt6710474,tt0190332,tt3104988,tt0120347
nm0000707	Sean Young	1959	\N	actress,miscellaneous,director	tt0083658,tt0087182,tt0093640,tt1856101
nm0000708	Billy Zane	1966	\N	actor,producer,director	tt0120338,tt0117331,tt0096874,tt0097162
nm0000709	Robert Zemeckis	1952	\N	producer,writer,director	tt0088763,tt0109830,tt0118884,tt1907668
nm0000710	David Raksin	1912	2004	music_department,composer,soundtrack	tt0458339,tt0037008,tt0027977,tt0119668
nm0000711	Rick Baker	1950	\N	make_up_department,actor,special_effects	tt0133152,tt0119654,tt0780653,tt0170016
nm0000712	Steve Cohen	\N	\N	director,producer,writer	tt0089218,tt0098844,tt0143213,tt0363685
nm0000713	Joel Oliansky	1935	2002	writer,director,actor	tt0205655,tt0065278,tt0069599,tt0096108
nm0000714	Willie Aames	1960	\N	actor,writer,director	tt0075500,tt0086681,tt0084945,tt21193618
nm0000715	Caroline Aaron	1952	\N	actress,producer,miscellaneous	tt1232829,tt0108160,tt0099487,tt0118954
nm0000716	Paula Abdul	1962	\N	actress,miscellaneous,producer	tt0358082,tt0093894,tt3513500,tt9208444
nm0000717	Kareem Abdul-Jabbar	1947	\N	actor,producer,writer	tt0080339,tt11564570,tt0089155,tt0113097
nm0000718	Ian Abercrombie	1934	2012	actor,miscellaneous,archive_footage	tt0106308,tt0106220,tt0455499,tt1185834
nm0000719	F. Murray Abraham	1939	\N	actor,soundtrack,archive_footage	tt2278388,tt0086879,tt0113819,tt2042568
nm0000720	Jim Abrahams	1944	\N	writer,producer,director	tt0080339,tt0088286,tt0083466,tt0102059
nm0000721	Victoria Abril	1959	\N	actress,soundtrack,archive_footage	tt0101026,tt0103030,tt0284491,tt0094822
nm0000722	Joss Ackland	1928	2023	actor,soundtrack,archive_footage	tt0099810,tt0097733,tt0101452,tt0078480
nm0000723	Deborah Adair	1952	\N	actress,archive_footage	tt0058796,tt0099701,tt0081856,tt0069658
nm0000724	Brooke Adams	1949	\N	actress,producer,writer	tt0077745,tt0085407,tt0077405,tt0103157
nm0000725	Joey Lauren Adams	1968	\N	actress,director,writer	tt0118842,tt0106677,tt0142342,tt2996684
nm0000726	Maud Adams	1945	\N	actress,director,archive_footage	tt0086034,tt0071807,tt0073631,tt0083178
nm0000727	Percy Adlon	1935	2024	director,writer,producer	tt0095801,tt0090377,tt0082225,tt0108636
nm0000728	Mario Adorf	1930	\N	actor,writer,director	tt0078875,tt0103432,tt0112154,tt0067429
nm0000729	Casey Affleck	1975	\N	actor,director,writer	tt4034228,tt6063090,tt6265828,tt0443680
nm0000730	John Agar	1921	2002	actor,music_department,archive_footage	tt0040369,tt0100260,tt0049516,tt0041841
nm0000731	Brian Aherne	1902	1986	actor,soundtrack,archive_footage	tt0030442,tt0036203,tt0057547,tt0027067
nm0000732	Danny Aiello	1933	2019	actor,producer,writer	tt0097216,tt0110413,tt0093565,tt0102070
nm0000733	Anouk Aimée	1932	2024	actress,archive_footage,archive_sound	tt0056801,tt0061138,tt0055093,tt0053779
nm0000734	Eddie Albert	1906	2005	actor,producer,writer	tt0046250,tt0058808,tt0068687,tt0056197
nm0000735	Brian Aldiss	1925	2017	writer,actor	tt0212720,tt31724576,tt0099612,tt0432260
nm0000736	Robert Aldrich	1918	1983	director,assistant_director,producer	tt0070030,tt0071771,tt0056687,tt0061578
nm0000737	Jane Alexander	1939	\N	actress,producer,soundtrack	tt0079417,tt0124315,tt0298130,tt0086429
nm0000738	Muhammad Ali	1942	2016	actor,writer,producer	tt0076111,tt0056406,tt0118147,tt0077003
nm0000739	Debbie Allen	1950	\N	producer,actress,director	tt0083412,tt0413573,tt0118607,tt0080716
nm0000740	Irwin Allen	1916	1991	writer,producer,director	tt0072308,tt0057798,tt0044009,tt0069113
nm0000741	Tim Allen	1953	\N	actor,producer,miscellaneous	tt0114709,tt0101120,tt0177789,tt0111070
nm0000742	June Allyson	1917	2006	actress,soundtrack,archive_footage	tt0046963,tt0041928,tt0041594,tt0040876
nm0000743	Néstor Almendros	1930	1992	cinematographer,director,camera_department	tt0077405,tt0084707,tt0080453,tt0079417
nm0000744	Maria Conchita Alonso	1957	\N	actress,producer,composer	tt0093894,tt0100403,tt1186370,tt0092997
nm0000745	Carol Alt	1960	\N	actress,producer,miscellaneous	tt0119951,tt12598744,tt1859650,tt0112829
nm0000746	Trini Alvarado	1967	\N	actress,soundtrack	tt0110367,tt0116365,tt0100691,tt11324406
nm0000747	Don Ameche	1908	1993	actor,director,soundtrack	tt0088933,tt0035979,tt0086465,tt0107131
nm0000748	Leon Ames	1902	1993	actor,soundtrack,archive_footage	tt0091738,tt0037059,tt0066473,tt0043880
nm0000749	Mädchen Amick	1970	\N	actress,director,producer	tt0109665,tt0098936,tt5420376,tt0105665
nm0000750	Jon Amiel	1948	\N	director,producer,writer	tt0112722,tt0298814,tt0137494,tt0100822
nm0000751	Suzy Amis	1962	\N	actress,producer,soundtrack	tt0114814,tt0109303,tt0120338,tt0106350
nm0000752	Judith Anderson	1897	1992	actress,soundtrack,archive_footage	tt0032976,tt0088170,tt0037008,tt0051459
nm0000753	Juliet Anderson	1938	2010	actress,director,producer	tt0183031,tt0082707,tt0184233,tt0265023
nm0000754	Kevin Anderson	1960	\N	actor,soundtrack,stunts	tt0093683,tt0102945,tt0118411,tt0413895
nm0000755	Lindsay Anderson	1923	1994	director,actor,writer	tt0063850,tt0082158,tt0083694,tt0057578
nm0000756	Loni Anderson	1945	\N	actress,soundtrack,archive_footage	tt0077097,tt0120770,tt0086379,tt0096787
nm0000757	Melissa Sue Anderson	1962	\N	actress,producer,soundtrack	tt0082498,tt0071007,tt0463850,tt0088513
nm0000758	Melody Anderson	1955	\N	actress,archive_footage	tt0080745,tt0098369,tt0082242,tt0091055
nm0000759	Paul Thomas Anderson	1970	\N	director,writer,producer	tt0272338,tt0469494,tt0118749,tt1791528
nm0000760	Richard Dean Anderson	1950	\N	actor,producer,executive	tt0118480,tt0088559,tt0374455,tt0929629
nm0000761	Bibi Andersson	1935	2019	actress,soundtrack,archive_footage	tt0060827,tt0050986,tt0050976,tt0837106
nm0000762	Anthony Andrews	1948	\N	actor,producer,soundtrack	tt1504320,tt0083390,tt0084637,tt0088322
nm0000763	Dana Andrews	1909	1992	actor,soundtrack,archive_footage	tt0037008,tt0036868,tt0037691,tt0049949
nm0000764	André René Roussimoff	1946	1993	actor,archive_footage,archive_sound	tt0093779,tt0250824,tt0071054,tt0087718
nm0000765	Pier Angeli	1932	1971	actress,soundtrack,archive_footage	tt0058947,tt0056504,tt0049778,tt0044112
nm0000766	Theodoros Angelopoulos	1935	2012	director,writer,producer	tt0096288,tt0156794,tt0114863,tt0081148
nm0000767	Jean-Hugues Anglade	1955	\N	actor,director,writer	tt0090563,tt0100263,tt0110963,tt0090095
nm0000768	Francesca Annis	1945	\N	actress,archive_footage	tt0087182,tt0077042,tt0085811,tt0375920
nm0000769	Susan Anspach	1942	2018	actress,soundtrack,archive_footage	tt0065724,tt0069097,tt0077233,tt0069808
nm0000770	David Anspaugh	1946	\N	producer,director	tt0091217,tt0108002,tt0081873,tt4196848
nm0000771	Lysette Anthony	1963	\N	actress,producer,archive_footage	tt0112896,tt0085811,tt0104466,tt0096454
nm0000772	Susan Anton	1950	\N	actress,producer,executive	tt0087032,tt0079225,tt0078694,tt0096542
nm0000773	Laura Antonelli	1941	2015	actress,archive_footage	tt0082883,tt0070358,tt0074686,tt0071844
nm0000774	Michelangelo Antonioni	1912	2007	writer,director,editor	tt0060176,tt0053619,tt0073580,tt0054130
nm0000775	Christina Applegate	1971	\N	actress,producer,soundtrack	tt0101757,tt4651520,tt0092400,tt0253867
nm0000776	Michael Apted	1941	2021	director,producer,miscellaneous	tt0454776,tt0095243,tt0384766,tt0157583
nm0000777	Gregg Araki	1959	\N	writer,director,producer	tt0370986,tt2238050,tt1523483,tt0094134
nm0000778	Alfonso Arau	1932	\N	actor,director,writer	tt0092086,tt0103994,tt2380307,tt0114887
nm0000779	Roscoe 'Fatty' Arbuckle	1887	1933	actor,director,writer	tt0007819,tt0007761,tt0012382,tt0009123
nm0000780	Denys Arcand	1941	\N	writer,director,actor	tt0338135,tt0097635,tt0090985,tt7231342
nm0000781	Eve Arden	1908	1990	actress,soundtrack,archive_footage	tt0044287,tt0037913,tt0077631,tt0052561
nm0000782	Asia Argento	1975	\N	actress,director,writer	tt0418819,tt0295701,tt0368774,tt0804507
nm0000783	Dario Argento	1940	\N	writer,director,producer	tt0073582,tt0065143,tt0087909,tt0084777
nm0000784	Pedro Armendáriz	1912	1963	actor,producer,archive_footage	tt0057076,tt0040369,tt0040064,tt0037981
nm0000785	Alison Armitage	1965	\N	actress,archive_footage	tt0116695,tt0105930,tt0180339,tt0115237
nm0000786	George Armitage	1942	\N	producer,writer,director	tt0119229,tt0065760,tt0075393,tt0100143
nm0000787	Bess Armstrong	1953	\N	actress,archive_footage	tt0085750,tt0108872,tt0082405,tt0091653
nm0000788	Gillian Armstrong	1950	\N	director,producer,writer	tt0079596,tt0117206,tt0110367,tt0245046
nm0000789	Desi Arnaz	1917	1986	producer,actor,production_manager	tt0043208,tt0047191,tt0041475,tt1243974
nm0000790	James Arness	1923	2011	actor,producer,miscellaneous	tt0047736,tt0047573,tt0044121,tt0092527
nm0000791	Jack Arnold	1912	1992	director,producer,writer	tt0046876,tt0050539,tt0045920,tt2402723
nm0000792	Tom Arnold	1959	\N	actor,producer,writer	tt0111503,tt0117768,tt0242445,tt0306685
nm0000793	Alexis Arquette	1969	2016	actress,art_department,producer	tt0110912,tt0144120,tt0160862,tt0105046
nm0000794	Lewis Arquette	1935	2001	actor,writer,producer	tt0185431,tt0118111,tt0098439,tt0078966
nm0000795	Jean Arthur	1900	1991	actress,soundtrack,archive_footage	tt0030993,tt0031679,tt0046303,tt0036172
nm0000796	Dana Ashbrook	1967	\N	actor,writer,archive_footage	tt0098936,tt0105665,tt5334704,tt0095990
nm0000797	Hal Ashby	1929	1988	director,editorial_department,actor	tt0061811,tt0067185,tt0078841,tt0070290
nm0000798	Linden Ashby	1960	\N	actor,director,archive_footage	tt0113855,tt0111756,tt0432021,tt1567432
nm0000799	Edward Asner	1929	2021	actor,producer,miscellaneous	tt1049413,tt0065314,tt0319343,tt0061619
nm0000800	Armand Assante	1949	\N	actor,producer,music_department	tt0116441,tt0765429,tt0104802,tt0113492
nm0000801	Olivier Assayas	1955	\N	writer,director,producer	tt4714782,tt2452254,tt0401711,tt1321865
nm0000802	Mary Astor	1906	1987	actress,soundtrack,archive_footage	tt0033870,tt0033677,tt0037059,tt0034428
nm0000803	Christopher Atkins	1961	\N	actor,writer,producer	tt0080453,tt0084504,tt0086011,tt0493406
nm0000804	Stéphane Audran	1932	2018	actress,soundtrack,archive_footage	tt0068361,tt0092603,tt0064106,tt0062728
nm0000805	Claudine Auger	1941	2019	actress,soundtrack,archive_footage	tt0059800,tt0080718,tt1369743,tt0092995
nm0000806	Bille August	1948	\N	director,writer,cinematographer	tt0107151,tt0093713,tt0438859,tt0119683
nm0000807	Jane Austen	1775	1817	writer,archive_footage	tt0114388,tt0116191,tt13456318,tt0414387
nm0000808	Paul Auster	1947	2024	writer,director,producer	tt0114478,tt0125879,tt0479074,tt3350042
nm0000809	Daniel Auteuil	1950	\N	actor,director,writer	tt0387898,tt0091288,tt1473063,tt0243493
nm0000810	Gene Autry	1907	1998	music_artist,actor,producer	tt0042110,tt0034106,tt0039909,tt0027361
nm0000811	Frankie Avalon	1940	\N	actor,producer,soundtrack	tt0077631,tt0059726,tt0058953,tt0112641
nm0000812	Roger Avary	1965	\N	producer,writer,director	tt0110912,tt0105236,tt0110265,tt0442933
nm0000813	Tex Avery	1908	1980	director,actor,writer	tt0027779,tt0033260,tt0032243,tt0038595
nm0000814	John G. Avildsen	1935	2017	director,editor,producer	tt0075148,tt0100507,tt0097647,tt0087538
nm0000815	Mili Avital	1972	\N	actress,director,producer	tt0111282,tt0112817,tt0181199,tt0120723
nm0000816	Jon Avnet	1949	\N	director,producer,writer	tt0101921,tt0118055,tt0086200,tt0947798
nm0000817	Lew Ayres	1908	1996	actor,director,producer	tt0030241,tt0020629,tt0069768,tt0040495
nm0000818	Shabana Azmi	1950	\N	actress,music_department,producer	tt0116308,tt0083578,tt5286444,tt2792284
nm0000819	Barbara Bach	1946	\N	actress,soundtrack,archive_footage	tt0076752,tt0080058,tt0064750,tt0077572
nm0000820	Burt Bacharach	1928	2023	composer,music_department,actor	tt0064115,tt0082031,tt0119738,tt0145660
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0375611,tt0213890,tt5571734,tt0337578
nm0000822	Jim Backus	1913	1989	actor,writer,soundtrack	tt0048545,tt0057193,tt0076538,tt0043643
nm0000823	Angelo Badalamenti	1937	2022	composer,music_department,actor	tt0166924,tt0105665,tt0116922,tt0344510
nm0000824	John Badham	1939	\N	director,producer,actor	tt0086567,tt0091949,tt0076666,tt0094025
nm0000825	Mary Badham	1952	\N	actress,archive_footage	tt0056592,tt0060626,tt0052520,tt0061089
nm0000826	Jane Badler	1953	\N	actress,producer,soundtrack	tt4054004,tt0086822,tt0085106,tt4244730
nm0000827	Maxine Bahns	1971	\N	actress	tt0112585,tt0117628,tt8558774,tt6517320
nm0000828	Barbara Bain	1931	\N	actress,soundtrack,archive_footage	tt0060009,tt0270197,tt0072564,tt8717656
nm0000829	Stuart Baird	1947	\N	editor,editorial_department,director	tt1074638,tt0078346,tt0381061,tt0253754
nm0000830	Oksana Baiul	1977	\N	actress,archive_footage	tt0115101,tt0118186,tt7462076,tt0243458
nm0000832	Diane Baker	1938	\N	actress,producer,production_manager	tt0058329,tt0102926,tt0057426,tt0052948
nm0000833	Joe Don Baker	1936	\N	actor,miscellaneous,production_manager	tt0113189,tt0112715,tt0116996,tt0093428
nm0000834	Kathy Baker	1950	\N	actress,producer	tt0103512,tt1315216,tt0159365,tt0099487
nm0000835	Ralph Bakshi	1938	\N	director,animation_department,writer	tt0076929,tt0077869,tt0085542,tt0068612
nm0000836	Scott Bakula	1954	\N	actor,producer,director	tt0096684,tt0169547,tt1291580,tt0109456
